id,v1_id,user_id,created_at,updated_at,start,end,timezone_offset,sport_name,score_state,sport_id,score.strain,score.average_heart_rate,score.max_heart_rate,score.kilojoule,score.percent_recorded,score.distance_meter,score.altitude_gain_meter,score.altitude_change_meter,score.zone_durations.zone_zero_milli,score.zone_durations.zone_one_milli,score.zone_durations.zone_two_milli,score.zone_durations.zone_three_milli,score.zone_durations.zone_four_milli,score.zone_durations.zone_five_milli
7f2e3299-579d-48ce-813d-8a28c30edaf1,1955297805,14052407,2025-08-26T18:48:05.949Z,2025-08-27T07:46:15.650Z,2025-08-26T17:24:00.236Z,2025-08-26T18:39:55.850Z,+01:00,cricket,SCORED,100,8.437175,117,171,1760.9545,1.0,,,,1135323,2824314,534490,58641,2884,0
7acfaa3a-4242-443d-b9ed-c7fe55126d10,1954470708,14052407,2025-08-26T12:22:10.318Z,2025-08-26T12:22:13.810Z,2025-08-26T11:43:30.592Z,2025-08-26T12:02:59.525Z,+01:00,walking,SCORED,63,4.517179,103,141,233.12433,1.0,,,,778660,389350,962,0,0,0
e4ee8629-b74b-4f2e-a839-c39cb0718b6f,1953472612,14052407,2025-08-26T05:42:44.111Z,2025-08-26T05:42:51.779Z,2025-08-26T05:02:49.879Z,2025-08-26T05:42:39.459Z,+01:00,weightlifting_msk,SCORED,123,10.047552,99,143,374.51788,1.0,,,,1892852,486420,10574,0,0,0
3c318eac-3a65-43ec-8fbe-e77b8fb61069,1952334662,14052407,2025-08-25T18:18:57.443Z,2025-08-25T18:19:01.052Z,2025-08-25T17:37:30.327Z,2025-08-25T18:05:59.500Z,+01:00,walking,SCORED,63,4.893039,105,137,374.81082,1.0,,,,1049771,659441,0,0,0,0
b4810d80-89e9-42d6-8aab-e7b56684ee48,1946836807,14052407,2025-08-23T18:00:30.831Z,2025-08-23T18:00:36.244Z,2025-08-23T14:24:00.479Z,2025-08-23T17:47:59.833Z,+01:00,baseball,SCORED,16,16.242365,133,175,7475.2017,1.0,,,,245132,7264639,3958646,748866,22109,0
6a973cfb-6187-48b1-9696-1411017c85d0,1943256963,14052407,2025-08-22T11:57:24.790Z,2025-08-22T11:57:41.323Z,2025-08-22T11:16:01.517Z,2025-08-22T11:57:23.592Z,+01:00,walking,SCORED,63,4.8366737,99,136,414.07553,1.0,3383.1152,114.73805,-4.721703,2011016,471052,0,0,0,0
9dbc83cc-819e-4b27-b857-a32111cd22e6,1941420560,14052407,2025-08-21T19:20:46.063Z,2025-08-21T19:20:50.005Z,2025-08-21T18:13:30.395Z,2025-08-21T18:59:59.143Z,+01:00,baseball,SCORED,16,10.072115,131,180,1629.7595,1.0,,,,254750,1502555,534488,298963,198031,0
b12bde8a-a6d3-478b-91fa-da1466a79e52,1940652264,14052407,2025-08-21T12:44:40.036Z,2025-08-21T12:44:43.610Z,2025-08-21T12:01:30.858Z,2025-08-21T12:19:29.428Z,+01:00,walking,SCORED,63,5.025603,117,143,409.7991,1.0,,,,169175,902704,6730,0,0,0
6c369830-24dd-4b30-ba4c-2dd751b529f3,1935782101,14052407,2025-08-19T18:59:13.510Z,2025-08-19T18:59:17.469Z,2025-08-19T17:37:30.714Z,2025-08-19T18:38:59.245Z,+01:00,baseball,SCORED,16,8.558893,120,170,1623.5337,1.0,,,,703675,2086064,795968,101901,961,0
075dc86d-3139-473e-9acc-19c614d35877,1933959018,14052407,2025-08-19T05:42:56.111Z,2025-08-19T05:43:01.238Z,2025-08-19T05:10:38.606Z,2025-08-19T05:42:55.344Z,+01:00,weightlifting_msk,SCORED,123,6.204408,92,123,213.7296,1.0,,,,1836119,99975,0,0,0,0
